"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2255",-44572.1198738558,241536.083333333,-0.711622441967753,0.491919127233627,0.999964564224971,-4.5951198502646
"2267",-149189.15859842,641312.666666667,-1.44883628400786,0.176042837449898,0.814362669922822,-4.59511984990014
"2270",-168852.097776943,591840.416666667,-1.93999507119508,0.0791767794250459,0.689595679013132,-4.59511984960142
"2268",435042,3491435.16666667,0.4180701861165,0.684161227450415,0.999964564224971,-4.59511985037842
"2269",191630.833333333,706939.916666667,0.709402636974019,0.493240424198473,0.999964564224971,-4.59511985027707
"2274",463670.554722726,1555754.08333333,0.840505856126892,0.419007186454043,0.999964564224971,-4.5951198502161
"2273",183116.050128411,934587.75,1.24707681885622,0.238970843392127,0.897184636001153,-4.59511985000556
"2301",-764657.188197496,7815973.25,-0.190092990173851,0.852793807064135,0.999964564224971,-4.59511985040174
"2299",-1358883.31770972,3138738.5,-2.21268576731071,0.0496373731792403,0.622538769009549,-4.59511984939677
"2305",990773.831540701,22134150.25,0.178067366037477,0.86199579082037,0.999964564224971,-4.59511985041728
"2286",-28138.6608981976,768470.75,-0.145458073345621,0.8870525646127,0.999964564224971,-4.59511985040538
"2292",-611724.82494441,2715579.25,-0.434085904004069,0.672847424006068,0.999964564224971,-4.59511985037278
"2279",-65228.174256451,353877.333333333,-0.96536922823317,0.355667881311329,0.952592996798874,-4.5951198501517
"2295",-1396708.79413569,13062107.9166667,-0.338075132956707,0.741845297069936,0.999964564224971,-4.59511985039697
"2291",-559717.902473975,3453815.91666667,-0.429415800474405,0.676137881905317,0.999964564224971,-4.59511985036636
"2278",-14060.3581113864,110659.416666667,-0.294098884625737,0.774307803545689,0.999964564224971,-4.59511985036116
"2287",9192.91383313079,994130.5,0.0217174720798642,0.98307294167162,0.999964564224971,-4.59511985042599
"2284",-320448.938933702,1066541.83333333,-1.17188533544015,0.266671039991446,0.909873484022211,-4.59511985004226
"2285",-207771.633501287,478348.166666667,-1.60053134982086,0.138560074754657,0.78466107071495,-4.59511984978447
"2294",-547692.1011892,2085739.83333333,-0.855223282629433,0.411164923550745,0.999964564224971,-4.59511985020388
"2298",-556244.605192228,1732422.58333333,-1.06710606157776,0.309404591623092,0.912573300049572,-4.595119850101
"2297",-120668.203539903,643139.916666667,-0.464034391480248,0.651919002038511,0.999964564224971,-4.59511985035207
"2327",-2006634.42148188,3660995.16666667,-1.81641657601926,0.0973886814236677,0.689595679013132,-4.5951198496341
"2328",-718713.026298244,1093365.5,-2.40952648012182,0.0352168088404395,0.539521511435533,-4.59511984926969
"2323",-221767.471436275,611300.666666667,-0.671222115131753,0.516304721441538,0.999964564224971,-4.59511985029066
"2329",-134947.986653437,406636.833333333,-1.12820600077708,0.283890029610063,0.909873484022211,-4.59511985006659
"2340",-1469490.33962532,3709413.16666667,-1.40502057603764,0.18837117453571,0.829266205139967,-4.59511984989104
"2335",-95562.8371186021,630863.916666667,-0.440331134835768,0.668458363707051,0.999964564224971,-4.5951198503573
"2342",-213686.142393942,969540.583333333,-2.52363953857315,0.0288191078885214,0.490565258724608,-4.59511984935757
"2337",28900.6666666667,441216.666666667,0.178148320286388,0.861933771322355,0.999964564224971,-4.59511985042451
"2341",-458247.432591673,743166.25,-0.996622893220911,0.340947789869843,0.944159489199035,-4.59511985013643
"2356",297074.1099773,1459445.16666667,0.459198054557034,0.655278136849101,0.999964564224971,-4.59511985035067
"2351",-98102.337250533,297802.833333333,-1.16149836949482,0.270689575587945,0.909873484022211,-4.59511985004618
"2360",-152667.16232006,1548886.41666667,-0.296913357822109,0.772215827549837,0.999964564224971,-4.59511985038983
"2372",3604850,11107799.1666667,0.938812561448765,0.368532101879595,0.961029516289219,-4.5951198501675
"2362",-50692.8976408794,887991.916666667,-0.322438202293637,0.753331879236761,0.999964564224971,-4.59511985036985
"2366",-149192.518222267,2257272.41666667,-0.121347428561066,0.905664226357903,0.999964564224971,-4.59511985041702
"2364",-98133.9504693713,332676.416666667,-1.47294774871607,0.169556763471984,0.811753005122124,-4.59511984985724
"2378",364957.208697743,2503531.5,0.426184389918623,0.678418826656492,0.999964564224971,-4.59511985035699
"2387",-96866.8568215801,1184883.75,-0.373488868811662,0.716077220053759,0.999964564224971,-4.59511985038291
"2369",129926.58464201,788092.083333333,0.860509283524452,0.408372737796196,0.999964564224971,-4.59511985019892
"2381",1055812.4016562,2384372.91666667,1.489832664538,0.165137601990866,0.805703204617857,-4.59511984986193
"2373",-57037.7136699932,399702.916666667,-0.684503174493881,0.508209736842067,0.999964564224971,-4.59511985026404
"2376",245379.1487529,1300704.58333333,0.649620666490369,0.529633275940937,0.999964564224971,-4.5951198502909
"2393",11226.7187162551,642290.583333333,0.122565207694951,0.90472266417311,0.999964564224971,-4.59511985035597
"2377",-48778.4875313897,372793.166666667,-0.818471136708381,0.430935614941822,0.999964564224971,-4.59511985021139
"2399",-266400.033574224,1871061.25,-0.676737318746918,0.512933856362451,0.999964564224971,-4.59511985026845
"2390",-44086.0468499871,201825.166666667,-0.814820464372413,0.432933501592748,0.999964564224971,-4.59511985022939
"2395",27766.3273277554,840834.416666667,0.0930483012991356,0.927584197155976,0.999964564224971,-4.59511985040646
"2384",-121454.195705561,318229.75,-2.05057689505484,0.0656152440396501,0.688510642936602,-4.59511984961566
"2388",-600310.021435599,878259.583333333,-4.48473992945841,0.000989058842470605,0.107110551552353,-4.59511984865387
"2382",-52160.0232238643,267186,-1.09229161435214,0.298683598042909,0.912573300049572,-4.59511985008988
"2392",-192065.850103607,787975.666666667,-1.94433353812025,0.0785987610007411,0.689595679013132,-4.59511984966887
"2386",6277.52613618606,216967.75,0.123654379916349,0.903880668194055,0.999964564224971,-4.59511985035929
"2394",-156145.529006614,333402.916666667,-1.04481952237376,0.319132109734719,0.922465937217652,-4.59511985011
"2396",-1094.52871164743,480976.333333333,-0.00558982944526285,0.995642818708957,0.999964564224971,-4.59511985041193
"2409",38173.1693207757,433681.083333333,0.597278375485584,0.562745023286286,0.999964564224971,-4.59511985029707
"2418",-175404.166666667,2204549.41666667,-0.206175079556654,0.840523847772436,0.999964564224971,-4.59511985042099
"2405",50104.7333556273,793085.083333333,0.120237691760116,0.906522384755932,0.999964564224971,-4.59511985041824
"2420",986353.226924634,5870248.83333333,0.646747145236977,0.531421305492491,0.999964564224971,-4.59511985029776
"2425",81929.4580815301,1374419.41666667,0.1653053496888,0.871784752177215,0.999964564224971,-4.59511985041659
"2414",-48503.327751653,913799,-0.392746447374869,0.702216324719177,0.999964564224971,-4.59511985035176
"2415",-165002.42201089,514200.166666667,-2.69872642209118,0.0211612571361895,0.450264526842254,-4.59511984945704
"2421",-3216582.8655023,10285598.5833333,-1.1668247610938,0.268622986766752,0.909873484022211,-4.59511985004367
"2428",-58114.9780687799,1404776.25,-0.289415724783172,0.777792916563586,0.999964564224971,-4.59511985038622
"2423",-274813.071497046,982651.166666667,-1.09808546144987,0.29625785974373,0.912573300049572,-4.59511985008191
"2419",49625.1638951268,549683.833333333,0.914161411067892,0.38076690451471,0.972224829527558,-4.59511985017271
"2434",-294631.897440961,978320.5,-1.68901159903261,0.120101239003347,0.763547829236716,-4.59511984974979
"2438",189765.526829563,5827166.08333333,0.0827741579152082,0.935558977982566,0.999964564224971,-4.59511985039901
"2432",33857.7828214486,469546.833333333,0.247462104006639,0.809233840590061,0.999964564224971,-4.59511985039728
"2437",-653791.723641334,3008750.41666667,-1.06938256168485,0.308423700488171,0.912573300049572,-4.59511985010031
"2429",-44347.1750761412,412881.333333333,-0.512522661379027,0.618696924934169,0.999964564224971,-4.59511985032898
"2427",9970.81769356675,146036.083333333,0.192913193514983,0.850639056234697,0.999964564224971,-4.59511985040573
"2433",-65002.6568597942,244563.5,-1.13110730067729,0.282720129583061,0.909873484022211,-4.59511985006654
"2439",-98027.5541981931,218913.166666667,-1.81587044317147,0.0974770796476288,0.689595679013132,-4.59511984967107
"2440",404.666666666594,402451.166666667,0.0044708150269313,0.996515065128859,0.999964564224971,-4.59511985043489
"2465",2347399.05524984,6943378.91666667,0.99387796181142,0.342222493868542,0.944159489199035,-4.59511985013768
"2446",-300222.889094473,786079.333333333,-1.12126168774473,0.28670543640307,0.912573300049572,-4.59511985006849
