"","Br_23865","Br_23883","Br_23884","Br_23728","Br_23729","Br_23730","Br_23731","Br_23732","Br_23733","Br_23875","Br_23876","Br_23877"
"704",17.2974305087176,18.2928666902902,16.9269072854221,18.3238287443893,17.5955938809199,17.5657984648882,18.2628991516982,17.7974504238264,17.1067007217193,17.1698616888434,17.0797143418577,17.7422563431548
"712",19.9034435817882,18.4647081925742,17.972886760959,18.9467779418733,20.1601238838199,18.1397488412115,19.0767305185316,19.4904250532677,18.5650967572483,18.8283533466067,18.1581127279074,18.3889271559778
"714",22.0068613252755,22.7364693562165,23.2797586120978,23.7294293089766,22.1699911648165,22.3292120930644,22.0473146399292,22.6589682804457,21.3781364226597,23.4349151025062,21.9011639441976,23.45009498968
"741",20.366860558163,21.2130868901787,21.3555684580327,20.6668189772803,19.9034435817882,20.471052924062,19.9847104224956,20.4795971889074,20.0521544147535,21.9547490379963,20.7376146452785,21.8502728237883
"729",23.7551235023635,24.7386358566859,24.7100174045927,25.0355984892247,24.8585465239868,24.2294440707358,24.6595135979964,25.0782536474447,23.7551235023635,24.4729928411358,24.5137341434961,24.9860737369469
"715",20.0774361749287,20.5818821132746,21.7915404600334,19.3666564991813,19.8242859706113,19.7477713687572,19.4142913252734,20.1524774092487,19.7959686448443,21.0729200114818,20.1414603241066,20.8563571571363
"727",20.2190631246313,20.0067898430139,19.7959686448443,18.8283533466067,19.1208694312339,18.7067205933313,18.3679688796623,18.7740224717833,18.9424710319076,20.3595015765881,20.2370969145262,19.7853621538827
"722",20.2630865356003,20.8563571571363,21.4101945967739,18.8364090873404,19.8007380828372,19.7262568047243,19.6594840604049,20.1281977542659,20.2810241927252,21.288184772585,19.7785308172418,20.5707163582668
"724",17.1698616888434,17.9276966925753,18.2471382874094,17.8281159792435,17.1258175718287,16.7404321266494,17.5481908839027,17.2159599819523,17.474179335162,19.2354917185078,18.8283533466067,17.413694870492
"785",19.4008360453816,19.8667941281394,19.6763078723591,19.0616117838989,18.3679688796623,18.1463039718898,18.9014381890444,20.9506690970091,20.6882503493309,19.7023987929992,18.9014381890444,18.509289147764
"762",19.1462391535436,19.5227021793623,19.9733137578539,18.2628991516982,17.6140498147154,18.2210314769215,17.7178512227918,18.0838122870884,18.3679688796623,20.0967613810787,19.6763078723591,20.1203554270137
"774",18.3889271559778,19.3585998256023,18.8718797112865,17.1757707083346,17.2684672453524,17.6140498147154,17.4011779475873,17.4011779475873,18.6585180580824,19.9221710936807,18.5830236155457,19.1656252938394
"767",20.1954071959928,20.1018870276167,20.6175231969215,18.0685229315399,18.599036617382,18.9673610242753,19.4008360453816,18.9014381890444,19.1292284933233,20.7205839540459,20.2190631246313,20.4930510621489
"840",24.9860737369469,25.2966312242664,25.0782536474447,25.173860292334,24.7816199003953,24.8585465239868,24.8585465239868,25.5342235328297,26.0101856415711,25.3264128919649,25.3264128919649,25.0355984892247
"803",18.0838122870884,17.6834522468291,17.4011779475873,21.3869181099141,19.3047712864474,18.8283533466067,18.448604406286,19.4682209076464,17.3083999731934,17.2159599819523,18.2022909706029,18.1793259544059
"782",20.1803809597192,20.3522007393202,20.6733178925257,20.6882503493309,19.9221710936807,20.6668189772803,22.1118216463955,21.0627787965434,19.5680244446282,20.5551025381267,20.0198204947653,21.0002296356688
